"","X","loglik","log.prior","nfail","center","logit_Beta","logit_phi","logit_psi","logit_gamma_one","logit_gamma_two","logit_theta_one","logit_theta_two","logit_eta","sample_size_RNA","sample_size_Ser","w_RNA_S","w_RNA_R","w_RNA_E","w_RNA_I","w_RNA_H","w_Ser_S","w_Ser_E","w_Ser_I","w_Ser_H","w_Ser_R","logit_prob_Penn_H","logit_prob_Penn_R","logit_prob_Penn_D","N"
"1",0,-103.045112647667,-Inf,0,1,-8.91248030855694,-1.70982060225908,-3.11858598443817,-1.6229124137274,-1.78497056882524,-4.49892697661433,-3.62694580087458,-7.54427630737701,25,50,1.09271684512348,2.94108968582753,3.29141001754367,7.40204203002152,7.45379589697946,0.805857440242823,6.42575747298256,5.90148610837976,4.50822393012928,4.4528432335987,-1.13122264843245,-4.06826771747529,-1.52029638483383,10000
"2",1,-103.045112647667,-Inf,0,1,-8.91248030855694,-1.70982060225908,-3.11858598443817,-1.6229124137274,-1.78497056882524,-4.49892697661433,-3.62694580087458,-7.54427630737701,25,50,1.09271684512348,2.94108968582753,3.29141001754367,7.40204203002152,7.45379589697946,0.805857440242823,6.42575747298256,5.90148610837976,4.50822393012928,4.4528432335987,-1.13122264843245,-4.06826771747529,-1.52029638483383,10000
"3",2,-103.045112647667,-Inf,0,1,-8.91248030855694,-1.70982060225908,-3.11858598443817,-1.6229124137274,-1.78497056882524,-4.49892697661433,-3.62694580087458,-7.54427630737701,25,50,1.09271684512348,2.94108968582753,3.29141001754367,7.40204203002152,7.45379589697946,0.805857440242823,6.42575747298256,5.90148610837976,4.50822393012928,4.4528432335987,-1.13122264843245,-4.06826771747529,-1.52029638483383,10000
"4",3,-103.045112647667,-Inf,0,1,-8.91248030855694,-1.70982060225908,-3.11858598443817,-1.6229124137274,-1.78497056882524,-4.49892697661433,-3.62694580087458,-7.54427630737701,25,50,1.09271684512348,2.94108968582753,3.29141001754367,7.40204203002152,7.45379589697946,0.805857440242823,6.42575747298256,5.90148610837976,4.50822393012928,4.4528432335987,-1.13122264843245,-4.06826771747529,-1.52029638483383,10000
"5",4,-103.045112647667,-Inf,0,1,-8.91248030855694,-1.70982060225908,-3.11858598443817,-1.6229124137274,-1.78497056882524,-4.49892697661433,-3.62694580087458,-7.54427630737701,25,50,1.09271684512348,2.94108968582753,3.29141001754367,7.40204203002152,7.45379589697946,0.805857440242823,6.42575747298256,5.90148610837976,4.50822393012928,4.4528432335987,-1.13122264843245,-4.06826771747529,-1.52029638483383,10000
"6",5,-94.9871662967622,-14.9457752878923,0,1,-9.09115373820207,-1.5441348309165,-3.044631892298,-1.52300735856213,-1.62817925272026,-4.49213251106818,-3.62658923900411,-7.63479868873486,25,50,1.11443507461596,2.93038400585555,3.28794989913751,7.42501331149216,7.42522843327694,0.825849036513388,6.40130801533268,5.8897318724076,4.49621527349044,4.47752267803908,-1.11250349364878,-4.0740076043344,-1.50755715442042,10000
"7",6,-83.8040337602739,-14.9457752878923,0,1,-9.1445214344641,-1.42399121719394,-2.9164253681887,-1.53972895478205,-1.58081540615144,-4.43788239483306,-3.58132519045396,-7.57645971247712,25,50,1.09961749640717,2.93787077929286,3.29575019427546,7.43031062312326,7.42153345078627,0.825150079126355,6.40617553327284,5.92695359895069,4.49419041210182,4.48087025859188,-1.27194735196165,-4.16173610625635,-1.38474886627148,10000
"8",7,-83.8040337602739,-14.9457752878923,0,1,-9.1445214344641,-1.42399121719394,-2.9164253681887,-1.53972895478205,-1.58081540615144,-4.43788239483306,-3.58132519045396,-7.57645971247712,25,50,1.09961749640717,2.93787077929286,3.29575019427546,7.43031062312326,7.42153345078627,0.825150079126355,6.40617553327284,5.92695359895069,4.49419041210182,4.48087025859188,-1.27194735196165,-4.16173610625635,-1.38474886627148,10000
"9",8,-83.8040337602739,-14.9457752878923,0,1,-9.1445214344641,-1.42399121719394,-2.9164253681887,-1.53972895478205,-1.58081540615144,-4.43788239483306,-3.58132519045396,-7.57645971247712,25,50,1.09961749640717,2.93787077929286,3.29575019427546,7.43031062312326,7.42153345078627,0.825150079126355,6.40617553327284,5.92695359895069,4.49419041210182,4.48087025859188,-1.27194735196165,-4.16173610625635,-1.38474886627148,10000
"10",9,-83.8040337602739,-14.9457752878923,0,1,-9.1445214344641,-1.42399121719394,-2.9164253681887,-1.53972895478205,-1.58081540615144,-4.43788239483306,-3.58132519045396,-7.57645971247712,25,50,1.09961749640717,2.93787077929286,3.29575019427546,7.43031062312326,7.42153345078627,0.825150079126355,6.40617553327284,5.92695359895069,4.49419041210182,4.48087025859188,-1.27194735196165,-4.16173610625635,-1.38474886627148,10000
"11",10,-83.8040337602739,-14.9457752878923,0,1,-9.1445214344641,-1.42399121719394,-2.9164253681887,-1.53972895478205,-1.58081540615144,-4.43788239483306,-3.58132519045396,-7.57645971247712,25,50,1.09961749640717,2.93787077929286,3.29575019427546,7.43031062312326,7.42153345078627,0.825150079126355,6.40617553327284,5.92695359895069,4.49419041210182,4.48087025859188,-1.27194735196165,-4.16173610625635,-1.38474886627148,10000
"12",11,-83.8040337602739,-14.9457752878923,0,1,-9.1445214344641,-1.42399121719394,-2.9164253681887,-1.53972895478205,-1.58081540615144,-4.43788239483306,-3.58132519045396,-7.57645971247712,25,50,1.09961749640717,2.93787077929286,3.29575019427546,7.43031062312326,7.42153345078627,0.825150079126355,6.40617553327284,5.92695359895069,4.49419041210182,4.48087025859188,-1.27194735196165,-4.16173610625635,-1.38474886627148,10000
